victims,date,type_of_attack,location,notes,name,age,sex,country
"Unknown, 62, femaleUnknown",March 2012,Predatory,"Tengzhou, Shandong, China","In a series of seven attacks over six days, a wolf or wolves fatally injured two people.",NA,NA,NA,China
"Unknown, 62, femaleUnknown",March 2012,Predatory,"Tengzhou, Shandong, China","In a series of seven attacks over six days, a wolf or wolves fatally injured two people.",female,NA,female,China
"Unknown, 62, femaleUnknown",March 2012,Predatory,"Tengzhou, Shandong, China","In a series of seven attacks over six days, a wolf or wolves fatally injured two people.",Unknown,NA,NA,China
"Surik Isayan, 22, male","March 15, 2012",Predatory,"Talvorik Village, Armavir Province, Armenia",A wolf attacked a dog in a yard then severely injured the owner who tried to chase it away.,Surik Isayan,NA,NA,Armenia
"Surik Isayan, 22, male","March 15, 2012",Predatory,"Talvorik Village, Armavir Province, Armenia",A wolf attacked a dog in a yard then severely injured the owner who tried to chase it away.,NA,NA,NA,Armenia
"Surik Isayan, 22, male","March 15, 2012",Predatory,"Talvorik Village, Armavir Province, Armenia",A wolf attacked a dog in a yard then severely injured the owner who tried to chase it away.,male,NA,male,Armenia
"Grigory Gerasimovich, adult, maleValentin Shevchuk, 42, male","February 1, 2012",Rabid,"Parokhonsk Village, Pinsk District, Brest Region, Belarus",A wolf attacked and injured two men in the middle of the village at night.,Grigory Gerasimovich,NA,NA,Belarus
"Grigory Gerasimovich, adult, maleValentin Shevchuk, 42, male","February 1, 2012",Rabid,"Parokhonsk Village, Pinsk District, Brest Region, Belarus",A wolf attacked and injured two men in the middle of the village at night.,adult,adult,NA,Belarus
"Grigory Gerasimovich, adult, maleValentin Shevchuk, 42, male","February 1, 2012",Rabid,"Parokhonsk Village, Pinsk District, Brest Region, Belarus",A wolf attacked and injured two men in the middle of the village at night.,male,NA,male,Belarus
"Grigory Gerasimovich, adult, maleValentin Shevchuk, 42, male","February 1, 2012",Rabid,"Parokhonsk Village, Pinsk District, Brest Region, Belarus",A wolf attacked and injured two men in the middle of the village at night.,Valentin Shevchuk,NA,NA,Belarus
"Grigory Gerasimovich, adult, maleValentin Shevchuk, 42, male","February 1, 2012",Rabid,"Parokhonsk Village, Pinsk District, Brest Region, Belarus",A wolf attacked and injured two men in the middle of the village at night.,NA,NA,NA,Belarus
"Grigory Gerasimovich, adult, maleValentin Shevchuk, 42, male","February 1, 2012",Rabid,"Parokhonsk Village, Pinsk District, Brest Region, Belarus",A wolf attacked and injured two men in the middle of the village at night.,male,NA,male,Belarus
"Four adults, male","January 5, 2012",Unprovoked,"Spataev Village, Saryagash District, South Kazakhstan Region, Kazakhstan","A wolf attacked a man who tried to chase the animal from his garden, injuring the man and three others who collectively killed it.",Four adults,adult,NA,Kazakhstan
"Four adults, male","January 5, 2012",Unprovoked,"Spataev Village, Saryagash District, South Kazakhstan Region, Kazakhstan","A wolf attacked a man who tried to chase the animal from his garden, injuring the man and three others who collectively killed it.",male,NA,male,Kazakhstan
"Rene Anderson, 55, female","September 25, 2011",Predatory,"10 mi south of Pierce near Headquarters, Idaho, US","A wolf approached a hunter who shot it to death, no injuries.",Rene Anderson,NA,NA,US
"Rene Anderson, 55, female","September 25, 2011",Predatory,"10 mi south of Pierce near Headquarters, Idaho, US","A wolf approached a hunter who shot it to death, no injuries.",NA,NA,NA,US
"Rene Anderson, 55, female","September 25, 2011",Predatory,"10 mi south of Pierce near Headquarters, Idaho, US","A wolf approached a hunter who shot it to death, no injuries.",female,NA,female,US
"Five pensioners, adults","June 24, 2011",Rabid,"Dvor-Savichi Village, Bragin District, Gomel Region, Belarus","A wolf from the Polesie State Radioecological Reserve attacked residents and animals in the village, injuring five pensioners.",Five pensioners,NA,NA,Belarus
"Five pensioners, adults","June 24, 2011",Rabid,"Dvor-Savichi Village, Bragin District, Gomel Region, Belarus","A wolf from the Polesie State Radioecological Reserve attacked residents and animals in the village, injuring five pensioners.",adults,adult,NA,Belarus
Adult and child,"April 17, 2011",Unknown,"Rörmossen, Sweden","Two wolves attack. One wolf attacks a woman with a child carriage, another wolf attacks their dog. The woman and the child escape uninjured, but the dog is killed.",Adult,NA,NA,Sweden
Adult and child,"April 17, 2011",Unknown,"Rörmossen, Sweden","Two wolves attack. One wolf attacks a woman with a child carriage, another wolf attacks their dog. The woman and the child escape uninjured, but the dog is killed.",child,child,NA,Sweden
"Kezban Kartalmış, 79, femaleŞerife Erkip, 76, female","April 14, 2011",Rabid,"Simav, Kütahya, Turkey","In two separate attacks which occurred near grazing cattle, a wolf or wolves seriously injured one woman and fatally injured another.",Kezban Kartalm,NA,NA,Turkey
"Kezban Kartalmış, 79, femaleŞerife Erkip, 76, female","April 14, 2011",Rabid,"Simav, Kütahya, Turkey","In two separate attacks which occurred near grazing cattle, a wolf or wolves seriously injured one woman and fatally injured another.",NA,NA,NA,Turkey
"Kezban Kartalmış, 79, femaleŞerife Erkip, 76, female","April 14, 2011",Rabid,"Simav, Kütahya, Turkey","In two separate attacks which occurred near grazing cattle, a wolf or wolves seriously injured one woman and fatally injured another.",female,NA,female,Turkey
"Kezban Kartalmış, 79, femaleŞerife Erkip, 76, female","April 14, 2011",Rabid,"Simav, Kütahya, Turkey","In two separate attacks which occurred near grazing cattle, a wolf or wolves seriously injured one woman and fatally injured another.",NA,NA,NA,Turkey
"Kezban Kartalmış, 79, femaleŞerife Erkip, 76, female","April 14, 2011",Rabid,"Simav, Kütahya, Turkey","In two separate attacks which occurred near grazing cattle, a wolf or wolves seriously injured one woman and fatally injured another.",female,NA,female,Turkey
"Three men andAsylhanov Mukhtarov, adult, female","January 31, 2011",Predatory,"Zhanabulak village, Akzhaik District, West Kazakhstan, Kazakhstan",A wolf injured three men then severely wounded a woman before being chased away. It later returned to the scene and was killed.,Three men andAsylhanov Mukhtarov,NA,NA,Kazakhstan
"Three men andAsylhanov Mukhtarov, adult, female","January 31, 2011",Predatory,"Zhanabulak village, Akzhaik District, West Kazakhstan, Kazakhstan",A wolf injured three men then severely wounded a woman before being chased away. It later returned to the scene and was killed.,adult,adult,NA,Kazakhstan
"Three men andAsylhanov Mukhtarov, adult, female","January 31, 2011",Predatory,"Zhanabulak village, Akzhaik District, West Kazakhstan, Kazakhstan",A wolf injured three men then severely wounded a woman before being chased away. It later returned to the scene and was killed.,female,NA,female,Kazakhstan
"Karen Calisterio, 52, female","November 27, 2010",Narrowly averted,"Between Tensed, Idaho and Plummer, Idaho, US",A pack of wolves briefly stalked a woman on her long rural driveway at dusk. No attack or injuries.,Karen Calisterio,NA,NA,US
"Karen Calisterio, 52, female","November 27, 2010",Narrowly averted,"Between Tensed, Idaho and Plummer, Idaho, US",A pack of wolves briefly stalked a woman on her long rural driveway at dusk. No attack or injuries.,NA,NA,NA,US
"Karen Calisterio, 52, female","November 27, 2010",Narrowly averted,"Between Tensed, Idaho and Plummer, Idaho, US",A pack of wolves briefly stalked a woman on her long rural driveway at dusk. No attack or injuries.,female,NA,female,US
Three adults and a child,"October 25, 2010",Predatory,"Razan City, Hamadan Province, Iran","A wolf attacked and injured a mother and child, and attempted to carry away the child before chased by rescuers. The wolf subsequently injured two men.",Three adults,adult,NA,Iran
Three adults and a child,"October 25, 2010",Predatory,"Razan City, Hamadan Province, Iran","A wolf attacked and injured a mother and child, and attempted to carry away the child before chased by rescuers. The wolf subsequently injured two men.",a child,child,NA,Iran
"Zhyldyz Bakasova, 29, female","October 29, 2010",Predatory,"Cholok-Kayin Village, Ak-Talaa District, Naryn Region, Kyrgyzstan.",A large wolf attacked and injured a woman who was defending her 4-year-old daughter in a yard.,Zhyldyz Bakasova,NA,NA,Kyrgyzstan.
"Zhyldyz Bakasova, 29, female","October 29, 2010",Predatory,"Cholok-Kayin Village, Ak-Talaa District, Naryn Region, Kyrgyzstan.",A large wolf attacked and injured a woman who was defending her 4-year-old daughter in a yard.,NA,NA,NA,Kyrgyzstan.
"Zhyldyz Bakasova, 29, female","October 29, 2010",Predatory,"Cholok-Kayin Village, Ak-Talaa District, Naryn Region, Kyrgyzstan.",A large wolf attacked and injured a woman who was defending her 4-year-old daughter in a yard.,female,NA,female,Kyrgyzstan.
10 People,"September 27, 2010",Rabid,"Chaditsa, Mogilevsky, and Vazhiya villages, Klimovsky District, Bryansk Oblast, Russia","In a series of attacks across three villages, a wolf fatally injured an elderly woman and injured nine others. Parties of more than 60 hunters tracked and killed the animal.",NA,NA,NA,Russia
"Ali Şahin, 66, maleKıymet Şahin, 65, femaleİsmet Bozkurt, male","September 9, 2010",Rabid,"Doganpınar Village, Pülümür District, Turkey","A wolf attacked a man who was in his yard washing laundry in the evening. The wolf seriously injured the man and his wife before rescuers arrived. The following morning, a wolf seriously injured a goatherd who was defending his livestock outside the village. A wolf was subsequently shot and killed.",Ali,NA,NA,Turkey
"Ali Şahin, 66, maleKıymet Şahin, 65, femaleİsmet Bozkurt, male","September 9, 2010",Rabid,"Doganpınar Village, Pülümür District, Turkey","A wolf attacked a man who was in his yard washing laundry in the evening. The wolf seriously injured the man and his wife before rescuers arrived. The following morning, a wolf seriously injured a goatherd who was defending his livestock outside the village. A wolf was subsequently shot and killed.",NA,NA,NA,Turkey
"Ali Şahin, 66, maleKıymet Şahin, 65, femaleİsmet Bozkurt, male","September 9, 2010",Rabid,"Doganpınar Village, Pülümür District, Turkey","A wolf attacked a man who was in his yard washing laundry in the evening. The wolf seriously injured the man and his wife before rescuers arrived. The following morning, a wolf seriously injured a goatherd who was defending his livestock outside the village. A wolf was subsequently shot and killed.",male,NA,male,Turkey
"Ali Şahin, 66, maleKıymet Şahin, 65, femaleİsmet Bozkurt, male","September 9, 2010",Rabid,"Doganpınar Village, Pülümür District, Turkey","A wolf attacked a man who was in his yard washing laundry in the evening. The wolf seriously injured the man and his wife before rescuers arrived. The following morning, a wolf seriously injured a goatherd who was defending his livestock outside the village. A wolf was subsequently shot and killed.",K,NA,NA,Turkey
"Ali Şahin, 66, maleKıymet Şahin, 65, femaleİsmet Bozkurt, male","September 9, 2010",Rabid,"Doganpınar Village, Pülümür District, Turkey","A wolf attacked a man who was in his yard washing laundry in the evening. The wolf seriously injured the man and his wife before rescuers arrived. The following morning, a wolf seriously injured a goatherd who was defending his livestock outside the village. A wolf was subsequently shot and killed.",NA,NA,NA,Turkey
"Ali Şahin, 66, maleKıymet Şahin, 65, femaleİsmet Bozkurt, male","September 9, 2010",Rabid,"Doganpınar Village, Pülümür District, Turkey","A wolf attacked a man who was in his yard washing laundry in the evening. The wolf seriously injured the man and his wife before rescuers arrived. The following morning, a wolf seriously injured a goatherd who was defending his livestock outside the village. A wolf was subsequently shot and killed.",female,NA,female,Turkey
"Ali Şahin, 66, maleKıymet Şahin, 65, femaleİsmet Bozkurt, male","September 9, 2010",Rabid,"Doganpınar Village, Pülümür District, Turkey","A wolf attacked a man who was in his yard washing laundry in the evening. The wolf seriously injured the man and his wife before rescuers arrived. The following morning, a wolf seriously injured a goatherd who was defending his livestock outside the village. A wolf was subsequently shot and killed.",male,NA,male,Turkey
"Candice Berner, 32, female","March 8, 2010",Predatory,"Chignik, Alaska, US",A wolf or wolves attacked and killed a woman. This was the first such attack in North America confirmed by DNA evidence of culled wolves.,Candice Berner,NA,NA,US
"Candice Berner, 32, female","March 8, 2010",Predatory,"Chignik, Alaska, US",A wolf or wolves attacked and killed a woman. This was the first such attack in North America confirmed by DNA evidence of culled wolves.,NA,NA,NA,US
"Candice Berner, 32, female","March 8, 2010",Predatory,"Chignik, Alaska, US",A wolf or wolves attacked and killed a woman. This was the first such attack in North America confirmed by DNA evidence of culled wolves.,female,NA,female,US
"Ahmed Sabic, 25, male","December 22, 2009",Predatory,"Cista Velika, Imotski Region, Dalmatian Hinterland, Croatia",Three wolves attacked a herd of cows and injured a shepherd who tried to defend them.,Ahmed Sabic,NA,NA,Croatia
"Ahmed Sabic, 25, male","December 22, 2009",Predatory,"Cista Velika, Imotski Region, Dalmatian Hinterland, Croatia",Three wolves attacked a herd of cows and injured a shepherd who tried to defend them.,NA,NA,NA,Croatia
"Ahmed Sabic, 25, male","December 22, 2009",Predatory,"Cista Velika, Imotski Region, Dalmatian Hinterland, Croatia",Three wolves attacked a herd of cows and injured a shepherd who tried to defend them.,male,NA,male,Croatia
Man,"December 12, 2009",Predatory,"Pyhäjärvi, Liittoperä, Finland",A wolf attacked and lightly injured man who was repairing machinery in the forest.,Man,NA,NA,Finland
"Nikolay Musienko, 68, male","November 27, 2009",Rabid,"Vulka Gorodishchenskaya Village, Pinsk District, Brest Region, Belarus",A wolf attacked and seriously injured an electrician outside a transformer substation.,Nikolay Musienko,NA,NA,Belarus
"Nikolay Musienko, 68, male","November 27, 2009",Rabid,"Vulka Gorodishchenskaya Village, Pinsk District, Brest Region, Belarus",A wolf attacked and seriously injured an electrician outside a transformer substation.,NA,NA,NA,Belarus
"Nikolay Musienko, 68, male","November 27, 2009",Rabid,"Vulka Gorodishchenskaya Village, Pinsk District, Brest Region, Belarus",A wolf attacked and seriously injured an electrician outside a transformer substation.,male,NA,male,Belarus
"Roderick Phillip, 35, male","September 10, 2009",Rabid,"Along the Kuskokwim River near Kalskag, Alaska, US",A wolf attacked a hunter who had left his campsite.,Roderick Phillip,NA,NA,US
"Roderick Phillip, 35, male","September 10, 2009",Rabid,"Along the Kuskokwim River near Kalskag, Alaska, US",A wolf attacked a hunter who had left his campsite.,NA,NA,NA,US
"Roderick Phillip, 35, male","September 10, 2009",Rabid,"Along the Kuskokwim River near Kalskag, Alaska, US",A wolf attacked a hunter who had left his campsite.,male,NA,male,US
"One person, adult, female","February 20, 2009",Predatory,"Giorgitsminda, Kakheti, Georgia",A pack of wolves was believed to have killed a woman in one of a series of attacks over a month.,One person,NA,NA,Georgia
"One person, adult, female","February 20, 2009",Predatory,"Giorgitsminda, Kakheti, Georgia",A pack of wolves was believed to have killed a woman in one of a series of attacks over a month.,adult,adult,NA,Georgia
"One person, adult, female","February 20, 2009",Predatory,"Giorgitsminda, Kakheti, Georgia",A pack of wolves was believed to have killed a woman in one of a series of attacks over a month.,female,NA,female,Georgia
"Vladimir Pashkov, 40, maleAlexei Suvorov, 56, maleThree others","February 19, 2009",Rabid,"Sikiyaz Village, Duvan District, Bashkortostan, Russia","A wolf fatally attacked a farm night watchman, and injured four others.",Vladimir Pashkov,NA,NA,Russia
"Vladimir Pashkov, 40, maleAlexei Suvorov, 56, maleThree others","February 19, 2009",Rabid,"Sikiyaz Village, Duvan District, Bashkortostan, Russia","A wolf fatally attacked a farm night watchman, and injured four others.",NA,NA,NA,Russia
"Vladimir Pashkov, 40, maleAlexei Suvorov, 56, maleThree others","February 19, 2009",Rabid,"Sikiyaz Village, Duvan District, Bashkortostan, Russia","A wolf fatally attacked a farm night watchman, and injured four others.",male,NA,male,Russia
"Vladimir Pashkov, 40, maleAlexei Suvorov, 56, maleThree others","February 19, 2009",Rabid,"Sikiyaz Village, Duvan District, Bashkortostan, Russia","A wolf fatally attacked a farm night watchman, and injured four others.",Alexei Suvorov,NA,NA,Russia
"Vladimir Pashkov, 40, maleAlexei Suvorov, 56, maleThree others","February 19, 2009",Rabid,"Sikiyaz Village, Duvan District, Bashkortostan, Russia","A wolf fatally attacked a farm night watchman, and injured four others.",NA,NA,NA,Russia
"Vladimir Pashkov, 40, maleAlexei Suvorov, 56, maleThree others","February 19, 2009",Rabid,"Sikiyaz Village, Duvan District, Bashkortostan, Russia","A wolf fatally attacked a farm night watchman, and injured four others.",male,NA,male,Russia
"Vladimir Pashkov, 40, maleAlexei Suvorov, 56, maleThree others","February 19, 2009",Rabid,"Sikiyaz Village, Duvan District, Bashkortostan, Russia","A wolf fatally attacked a farm night watchman, and injured four others.",Three others,NA,NA,Russia
"Kolya Nechaev, 10, male","January 10, 2009",Predatory,"Zavod-Kyn Village, Lysva District, Perm Krai, Russia","A wolf attacked a boy who was tobogganing and dragged him into a forest, inflicting fatal injuries. An expert stated that the animal was probably too old and weak to hunt proper prey.",Kolya Nechaev,NA,NA,Russia
"Kolya Nechaev, 10, male","January 10, 2009",Predatory,"Zavod-Kyn Village, Lysva District, Perm Krai, Russia","A wolf attacked a boy who was tobogganing and dragged him into a forest, inflicting fatal injuries. An expert stated that the animal was probably too old and weak to hunt proper prey.",NA,NA,NA,Russia
"Kolya Nechaev, 10, male","January 10, 2009",Predatory,"Zavod-Kyn Village, Lysva District, Perm Krai, Russia","A wolf attacked a boy who was tobogganing and dragged him into a forest, inflicting fatal injuries. An expert stated that the animal was probably too old and weak to hunt proper prey.",male,NA,male,Russia
"Galina Solyanik, adult, femaleZoe Rybalko, adult, femaleAdult female","February 11, 2008",Unprovoked,"Bohoyavlenka, Donetsk Oblast, Ukraine",A wolf attacked and seriously injured three women in the early morning near a farm.,Galina Solyanik,NA,NA,Ukraine
"Galina Solyanik, adult, femaleZoe Rybalko, adult, femaleAdult female","February 11, 2008",Unprovoked,"Bohoyavlenka, Donetsk Oblast, Ukraine",A wolf attacked and seriously injured three women in the early morning near a farm.,adult,adult,NA,Ukraine
"Galina Solyanik, adult, femaleZoe Rybalko, adult, femaleAdult female","February 11, 2008",Unprovoked,"Bohoyavlenka, Donetsk Oblast, Ukraine",A wolf attacked and seriously injured three women in the early morning near a farm.,female,NA,female,Ukraine
"Galina Solyanik, adult, femaleZoe Rybalko, adult, femaleAdult female","February 11, 2008",Unprovoked,"Bohoyavlenka, Donetsk Oblast, Ukraine",A wolf attacked and seriously injured three women in the early morning near a farm.,Zoe Rybalko,NA,NA,Ukraine
"Galina Solyanik, adult, femaleZoe Rybalko, adult, femaleAdult female","February 11, 2008",Unprovoked,"Bohoyavlenka, Donetsk Oblast, Ukraine",A wolf attacked and seriously injured three women in the early morning near a farm.,adult,adult,NA,Ukraine
"Galina Solyanik, adult, femaleZoe Rybalko, adult, femaleAdult female","February 11, 2008",Unprovoked,"Bohoyavlenka, Donetsk Oblast, Ukraine",A wolf attacked and seriously injured three women in the early morning near a farm.,female,NA,female,Ukraine
"Galina Solyanik, adult, femaleZoe Rybalko, adult, femaleAdult female","February 11, 2008",Unprovoked,"Bohoyavlenka, Donetsk Oblast, Ukraine",A wolf attacked and seriously injured three women in the early morning near a farm.,Adult female,NA,female,Ukraine
None,"December 22, 2007",Predatory,"Fort Nelson, British Columbia, Canada","Two wolves approached children who were tobogganing, and were attacked by a dog and later shot and killed.  No human injuries.",None,NA,NA,Canada
"Alycia Beiergrohslein, adult, femaleCamas Barkemeyer, adult, femaleadult, female","December 20, 2007",Predatory,"Artillery Road, Anchorage, Alaska","A pack of several wolves stalked three women jogging with their dogs on a forested road, attacking and injuring one dog.",Alycia Beiergrohslein,NA,NA,Alaska
"Alycia Beiergrohslein, adult, femaleCamas Barkemeyer, adult, femaleadult, female","December 20, 2007",Predatory,"Artillery Road, Anchorage, Alaska","A pack of several wolves stalked three women jogging with their dogs on a forested road, attacking and injuring one dog.",adult,adult,NA,Alaska
"Alycia Beiergrohslein, adult, femaleCamas Barkemeyer, adult, femaleadult, female","December 20, 2007",Predatory,"Artillery Road, Anchorage, Alaska","A pack of several wolves stalked three women jogging with their dogs on a forested road, attacking and injuring one dog.",female,NA,female,Alaska
"Alycia Beiergrohslein, adult, femaleCamas Barkemeyer, adult, femaleadult, female","December 20, 2007",Predatory,"Artillery Road, Anchorage, Alaska","A pack of several wolves stalked three women jogging with their dogs on a forested road, attacking and injuring one dog.",Camas Barkemeyer,NA,NA,Alaska
"Alycia Beiergrohslein, adult, femaleCamas Barkemeyer, adult, femaleadult, female","December 20, 2007",Predatory,"Artillery Road, Anchorage, Alaska","A pack of several wolves stalked three women jogging with their dogs on a forested road, attacking and injuring one dog.",adult,adult,NA,Alaska
"Alycia Beiergrohslein, adult, femaleCamas Barkemeyer, adult, femaleadult, female","December 20, 2007",Predatory,"Artillery Road, Anchorage, Alaska","A pack of several wolves stalked three women jogging with their dogs on a forested road, attacking and injuring one dog.",femaleadult,adult,female,Alaska
"Alycia Beiergrohslein, adult, femaleCamas Barkemeyer, adult, femaleadult, female","December 20, 2007",Predatory,"Artillery Road, Anchorage, Alaska","A pack of several wolves stalked three women jogging with their dogs on a forested road, attacking and injuring one dog.",female,NA,female,Alaska
"Jouko Vuorma, adult, male","September 2, 2007",Provoked,"Muhos, Finland",A female wolf chased a man for 300 metres (980 ft) after he had accidentally approached a wolf cub while picking berries. The wolf withdrew when the man began hitting it with a stick.,Jouko Vuorma,NA,NA,Finland
"Jouko Vuorma, adult, male","September 2, 2007",Provoked,"Muhos, Finland",A female wolf chased a man for 300 metres (980 ft) after he had accidentally approached a wolf cub while picking berries. The wolf withdrew when the man began hitting it with a stick.,adult,adult,NA,Finland
"Jouko Vuorma, adult, male","September 2, 2007",Provoked,"Muhos, Finland",A female wolf chased a man for 300 metres (980 ft) after he had accidentally approached a wolf cub while picking berries. The wolf withdrew when the man began hitting it with a stick.,male,NA,male,Finland
"Bekbolat Amirkhanov, 50, male","April 24, 2007",Predatory,"Kurmangazinsky District, Atyrau Region, Kazakhstan","A wolf attacked a shepherd who was grazing his sheep. The shepherd grabbed the wolf's tongue and reportedly held it for an hour, sustaining injuries to his hand while the wolf became exhausted and died.",Bekbolat Amirkhanov,NA,NA,Kazakhstan
"Bekbolat Amirkhanov, 50, male","April 24, 2007",Predatory,"Kurmangazinsky District, Atyrau Region, Kazakhstan","A wolf attacked a shepherd who was grazing his sheep. The shepherd grabbed the wolf's tongue and reportedly held it for an hour, sustaining injuries to his hand while the wolf became exhausted and died.",NA,NA,NA,Kazakhstan
"Bekbolat Amirkhanov, 50, male","April 24, 2007",Predatory,"Kurmangazinsky District, Atyrau Region, Kazakhstan","A wolf attacked a shepherd who was grazing his sheep. The shepherd grabbed the wolf's tongue and reportedly held it for an hour, sustaining injuries to his hand while the wolf became exhausted and died.",male,NA,male,Kazakhstan
"Becky Wanamaker, 25, female","July 7, 2006",Predatory,"Dalton Highway near campground northwest of Fairbanks, Alaska, US","A wolf chased and attacked a woman walking on the highway, injuring her legs before she found shelter and assistance.",Becky Wanamaker,NA,NA,US
"Becky Wanamaker, 25, female","July 7, 2006",Predatory,"Dalton Highway near campground northwest of Fairbanks, Alaska, US","A wolf chased and attacked a woman walking on the highway, injuring her legs before she found shelter and assistance.",NA,NA,NA,US
"Becky Wanamaker, 25, female","July 7, 2006",Predatory,"Dalton Highway near campground northwest of Fairbanks, Alaska, US","A wolf chased and attacked a woman walking on the highway, injuring her legs before she found shelter and assistance.",female,NA,female,US
"Kenton Carnegie, 22, male","November 8, 2005",Predatory,"Points North Landing, Saskatchewan, Canada","A coroners' jury concluded that wolves were responsible for a student's death, though an attack by a black bear was not excluded. The body was found partially eaten in an area known to be frequented by wolves feeding on human refuse.",Kenton Carnegie,NA,NA,Canada
"Kenton Carnegie, 22, male","November 8, 2005",Predatory,"Points North Landing, Saskatchewan, Canada","A coroners' jury concluded that wolves were responsible for a student's death, though an attack by a black bear was not excluded. The body was found partially eaten in an area known to be frequented by wolves feeding on human refuse.",NA,NA,NA,Canada
"Kenton Carnegie, 22, male","November 8, 2005",Predatory,"Points North Landing, Saskatchewan, Canada","A coroners' jury concluded that wolves were responsible for a student's death, though an attack by a black bear was not excluded. The body was found partially eaten in an area known to be frequented by wolves feeding on human refuse.",male,NA,male,Canada
Two people,Winter 2005,NA,"Khost province, Afghanistan",Occurred during what was considered the worst Afghan Winter in over a decade.,Two people,NA,NA,Afghanistan
Four people,Winter 2005,NA,"Naka, Paktia province, Afghanistan",Two of the victims were killed during trips to other villages.,Four people,NA,NA,Afghanistan
Two people,February 2005,NA,"Muinak district, western Uzbekistan",NA,Two people,NA,NA,western Uzbekistan
Elderly Man,"January 5, 2005",Predatory,"Village of Vali-Asr, near the town of Torbat Heydariya, Razavi Khorasan Province, Iran","Wolves attacked an elderly homeless man, inflicting fatal injuries despite attempts at rescue.",Elderly Man,NA,NA,Iran
"Fred Desjarlais, 55, male","December 31, 2004",Predatory,"Key Lake, Saskatchewan, Canada","A wolf attacked and seriously injured a jogger, who was rescued by bus passengers. In response, authorities built an electric fence around a nearby landfill which was attracting predators.",Fred Desjarlais,NA,NA,Canada
"Fred Desjarlais, 55, male","December 31, 2004",Predatory,"Key Lake, Saskatchewan, Canada","A wolf attacked and seriously injured a jogger, who was rescued by bus passengers. In response, authorities built an electric fence around a nearby landfill which was attracting predators.",NA,NA,NA,Canada
"Fred Desjarlais, 55, male","December 31, 2004",Predatory,"Key Lake, Saskatchewan, Canada","A wolf attacked and seriously injured a jogger, who was rescued by bus passengers. In response, authorities built an electric fence around a nearby landfill which was attracting predators.",male,NA,male,Canada
"Onur Bahar, 10, male","November 28, 2004",Predatory,"Talas District, Kayseri Province, Central Anatolia, Turkey","A pack of wolves approached a group of children who were playing one mile from their homes, chasing and killing the slowest of the group.",Onur Bahar,NA,NA,Turkey
"Onur Bahar, 10, male","November 28, 2004",Predatory,"Talas District, Kayseri Province, Central Anatolia, Turkey","A pack of wolves approached a group of children who were playing one mile from their homes, chasing and killing the slowest of the group.",NA,NA,NA,Turkey
"Onur Bahar, 10, male","November 28, 2004",Predatory,"Talas District, Kayseri Province, Central Anatolia, Turkey","A pack of wolves approached a group of children who were playing one mile from their homes, chasing and killing the slowest of the group.",male,NA,male,Turkey
Three people,Winter 2003–04,NA,"Astrakhan Oblast, Russia",NA,Three people,NA,NA,Russia
Three shepherds,Winter 2003–04,NA,"Sredneakhtubinsky District, Russia.",NA,Three shepherds,NA,NA,Russia.
14 Children,February–August 2003,Predatory,"Laliya, Auraiya, and Balrampur district, Uttar Pradesh, India",Wolves were believed responsible for the deaths of 14 children in a series of attacks.,NA,NA,NA,India
"Scott Langevin, 23, male","July 2, 2000",Predatory,"Vargas Island Provincial Park, British Columbia, Canada","A wolf attacked a man sleeping outside at a campsite, inflicting serious injuries before other campers scared the animal away.",Scott Langevin,NA,NA,Canada
"Scott Langevin, 23, male","July 2, 2000",Predatory,"Vargas Island Provincial Park, British Columbia, Canada","A wolf attacked a man sleeping outside at a campsite, inflicting serious injuries before other campers scared the animal away.",NA,NA,NA,Canada
"Scott Langevin, 23, male","July 2, 2000",Predatory,"Vargas Island Provincial Park, British Columbia, Canada","A wolf attacked a man sleeping outside at a campsite, inflicting serious injuries before other campers scared the animal away.",male,NA,male,Canada
"John Stenglein, 6, male","April 26, 2000",Predatory,"Logging camp at Icy Bay, Alaska",A wolf attacked and severely injured boy playing at the edge of a forest.,John Stenglein,NA,NA,Alaska
"John Stenglein, 6, male","April 26, 2000",Predatory,"Logging camp at Icy Bay, Alaska",A wolf attacked and severely injured boy playing at the edge of a forest.,NA,NA,NA,Alaska
"John Stenglein, 6, male","April 26, 2000",Predatory,"Logging camp at Icy Bay, Alaska",A wolf attacked and severely injured boy playing at the edge of a forest.,male,NA,male,Alaska
"Anand Kumar, 4, male",1996,Predatory,"Banbirpur, India","A wolf attacked and carried away a boy, who was killed and eaten.",Anand Kumar,NA,NA,India
"Anand Kumar, 4, male",1996,Predatory,"Banbirpur, India","A wolf attacked and carried away a boy, who was killed and eaten.",NA,NA,NA,India
"Anand Kumar, 4, male",1996,Predatory,"Banbirpur, India","A wolf attacked and carried away a boy, who was killed and eaten.",male,NA,male,India
"Zachariah Delventhal, 11, male",August 1996,Predatory,"Algonquin Provincial Park, Ontario, Canada","A wolf attacked and severely injured a boy who was sleeping outside with his family at a campsite. The family had earlier joined a group of Scouts in howling for wolves, which had been answered by a solitary wolf. Officials subsequently baited the campsite and a wolf was captured and destroyed.",Zachariah Delventhal,NA,NA,Canada
"Zachariah Delventhal, 11, male",August 1996,Predatory,"Algonquin Provincial Park, Ontario, Canada","A wolf attacked and severely injured a boy who was sleeping outside with his family at a campsite. The family had earlier joined a group of Scouts in howling for wolves, which had been answered by a solitary wolf. Officials subsequently baited the campsite and a wolf was captured and destroyed.",NA,NA,NA,Canada
